Order ID,Customer ID,Product Name,Product Category,Order Date,Order Amount,Payment Status,Delivery Status,Expected Delivery Date,Refund Status,Warranty Status
ORD-290382,CUST-10000,Eco Charging Pad,Accessories,2025-10-15,49,Processing Refund,Delivered,2025-10-22,Processing,No Warranty
ORD-458881,CUST-10000,Noise-Cancelling Bud S,Audio,2025-10-24,129,Paid,Delivered,2025-10-29,None,Active
ORD-459989,CUST-10000,Quantum Laptop 15,Computing,2025-10-26,1499,Refunded,Delivered,2025-11-01,Completed,Active
ORD-865349,CUST-10000,Pro Headphones X,Audio,2025-10-17,299,Paid,Cancelled,2025-10-23,None,Active
ORD-962694,CUST-10001,4K HDR Monitor,Display,2025-07-24,599,Processing Refund,In Transit,2025-07-29,Processing,Active
ORD-857367,CUST-10001,4K HDR Monitor,Display,2025-07-07,599,Paid,Not Shipped,2025-07-13,None,Active
ORD-491316,CUST-10001,Secure Router Pro,Networking,2025-07-14,199,Paid,Not Shipped,2025-07-17,None,Active
ORD-981246,CUST-10002,Secure Router Pro,Networking,2023-12-05,199,Refunded,Not Shipped,2023-12-11,Completed,Expired
ORD-280138,CUST-10002,Pro Headphones X,Audio,2023-11-30,299,Paid,In Transit,2023-12-07,None,Expired
ORD-748421,CUST-10002,Quantum Laptop 15,Computing,2023-12-05,1499,Paid,Not Shipped,2023-12-09,None,Expired
ORD-164734,CUST-10002,Ultra Smartwatch v2,Wearables,2023-12-12,349,Unpaid,In Transit,2023-12-18,None,Expired
ORD-896213,CUST-10002,4K HDR Monitor,Display,2023-12-14,599,Processing Refund,Not Shipped,2023-12-19,Processing,Expired
ORD-613847,CUST-10003,Pro Headphones X,Audio,2025-04-29,299,Refunded,Not Shipped,2025-05-02,Completed,Expired
ORD-343887,CUST-10003,Noise-Cancelling Bud S,Audio,2025-04-29,129,Unpaid,In Transit,2025-05-06,None,Expired
ORD-745356,CUST-10004,Secure Router Pro,Networking,2025-08-23,199,Paid,Delivered,2025-08-26,None,Active
ORD-148958,CUST-10004,Pro Headphones X,Audio,2025-08-19,299,Refunded,Not Shipped,2025-08-26,Completed,Active
ORD-597469,CUST-10004,Ultra Smartwatch v2,Wearables,2025-08-24,349,Paid,Cancelled,2025-08-27,None,Active
ORD-480481,CUST-10005,Ultra Smartwatch v2,Wearables,2025-09-16,349,Paid,Cancelled,2025-09-21,None,Active
ORD-954308,CUST-10005,Quantum Laptop 15,Computing,2025-09-18,1499,Paid,Delivered,2025-09-24,None,Active
ORD-819399,CUST-10005,Noise-Cancelling Bud S,Audio,2025-09-15,129,Paid,Delivered,2025-09-18,None,Active
ORD-945016,CUST-10005,4K HDR Monitor,Display,2025-09-20,599,Paid,Not Shipped,2025-09-24,None,Active
ORD-411869,CUST-10005,Secure Router Pro,Networking,2025-09-16,199,Paid,Delivered,2025-09-20,None,Active
ORD-444789,CUST-10006,Pro Headphones X,Audio,2024-01-22,299,Paid,In Transit,2024-01-29,None,Expired
ORD-412002,CUST-10006,Ultra Smartwatch v2,Wearables,2024-01-27,349,Processing Refund,Cancelled,2024-01-30,Processing,Expired
ORD-636027,CUST-10006,4K HDR Monitor,Display,2024-01-19,599,Processing Refund,Delivered,2024-01-24,Processing,Expired
ORD-348991,CUST-10007,Eco Charging Pad,Accessories,2025-02-08,49,Paid,In Transit,2025-02-12,None,No Warranty
ORD-658520,CUST-10007,Noise-Cancelling Bud S,Audio,2025-01-28,129,Paid,In Transit,2025-02-02,None,Expired
ORD-808730,CUST-10007,4K HDR Monitor,Display,2025-02-03,599,Processing Refund,In Transit,2025-02-09,Processing,Expired
ORD-656347,CUST-10007,Pro Headphones X,Audio,2025-02-06,299,Paid,Cancelled,2025-02-12,None,Expired
ORD-322753,CUST-10008,Quantum Laptop 15,Computing,2024-06-13,1499,Refunded,Delivered,2024-06-19,Completed,Expired
ORD-874148,CUST-10008,Eco Charging Pad,Accessories,2024-05-31,49,Refunded,In Transit,2024-06-06,Completed,No Warranty
ORD-560265,CUST-10009,Quantum Laptop 15,Computing,2025-07-16,1499,Processing Refund,Delivered,2025-07-19,Processing,Active
ORD-868831,CUST-10010,Pro Headphones X,Audio,2024-04-25,299,Paid,Cancelled,2024-04-29,None,Expired
ORD-603242,CUST-10011,Quantum Laptop 15,Computing,2025-03-28,1499,Paid,Delivered,2025-03-31,None,Expired
