Ticket ID,Customer ID,Order ID,Customer Query,Query Category,Sentiment,Priority,Created Date,Resolution Status,Escalation Status
TKT-100000,CUST-14117,ORD-979155,I need to update my billing address from Oakland to my new home. Can you help me?,Billing,Negative,low,2026-06-13,pending,No
TKT-100001,CUST-18164,ORD-736468,"Hi, I noticed a double charge of $129 on my credit card for order ORD-736468. Can you please issue a refund?",Billing,Neutral,urgent,2026-06-25,escalated,Yes
TKT-100002,CUST-13634,ORD-534244,How do I clean and maintain my Secure Router Pro? The user guide doesn't explain this well.,Product,Negative,high,2026-06-17,escalated,Yes
TKT-100003,CUST-17473,ORD-955071,The package containing my Noise-Cancelling Bud S is stuck at the local hub in Kansas City. Please check on it.,Shipping,Positive,low,2026-06-11,escalated,Yes
TKT-100004,CUST-13409,ORD-252589,What is the battery life of Pro Headphones X? Does it support fast charging on Samsung Galaxy S23?,Product,Positive,urgent,2026-06-13,pending,No
TKT-100005,CUST-17594,ORD-353891,Can you provide the tracking number or link for my shipping order ORD-353891?,Shipping,Positive,low,2026-06-13,in_progress,No
TKT-100006,CUST-19756,ORD-812393,I ordered Pro Headphones X but the delivery address is incorrect. Can I change it to Austin?,Shipping,Neutral,low,2026-06-17,new,No
TKT-100007,CUST-13236,ORD-629523,I was billed twice for my subscription. The invoice shows ORD-629523 for 599 but I only authorized one charge.,Billing,Positive,high,2026-06-20,resolved,No
TKT-100008,CUST-14246,ORD-738864,Could you send me the invoice for my purchase of Pro Headphones X? Order ID is ORD-738864.,Billing,Neutral,high,2026-06-10,resolved,No
TKT-100009,CUST-10378,ORD-866751,How do I clean and maintain my 4K HDR Monitor? The user guide doesn't explain this well.,Product,Negative,low,2026-07-02,new,No
TKT-100010,CUST-11228,ORD-696241,How do I configure the firmware update on the 4K HDR Monitor? I'm getting a connection failure.,Technical,Negative,urgent,2026-06-04,pending,No
TKT-100011,CUST-13606,ORD-681610,Can you help me debug the sync issue on Dell XPS 13? It shows database error ERR_RESOURCE_NOT_FOUND_404 constantly.,Technical,Positive,low,2026-06-12,escalated,Yes
TKT-100012,CUST-16892,ORD-763889,My card on file was charged 299 but I cancelled my plan last week. Refund needed ASAP.,Billing,Neutral,low,2026-06-24,resolved,No
TKT-100013,CUST-10449,ORD-210120,my card on file was charged 349 but i cancelled my plan last week. refund needed asap.,Billing,Positive,urgent,2026-06-11,pending,No
TKT-100014,CUST-15265,ORD-121286,I cannot change my username. It keeps saying invalid format. Please help.,Account,Negative,urgent,2026-06-18,resolved,No
TKT-100015,CUST-10350,ORD-201796,The software crashes on startup on my Android Tablet. It worked fine yesterday but now displays ERR_RESOURCE_NOT_FOUND_404.,Technical,Positive,urgent,2026-06-26,resolved,No
TKT-100016,CUST-14547,ORD-622462,My MacBook Pro M2 is throwing error ERR_INVALID_LICENSE_KEY when trying to connect to the server. Please help.,Technical,Positive,high,2026-06-04,in_progress,No
TKT-100017,CUST-13630,ORD-107224,Is 4K HDR Monitor currently in stock in any physical stores near Raleigh?,Product,Neutral,medium,2026-06-23,in_progress,No
TKT-100018,CUST-12997,ORD-335360,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Positive,medium,2026-06-12,new,No
TKT-100019,CUST-19454,ORD-278331,I ordered Pro Headphones X but the delivery address is incorrect. Can I change it to Urbana?,Shipping,Negative,high,2026-06-07,new,No
TKT-100020,CUST-16450,ORD-521505,Can you tell me the physical dimensions and weight of Secure Router Pro? I want to make sure it fits my desk.,Product,Negative,urgent,2026-06-02,new,No
TKT-100021,CUST-14074,ORD-300350,I forgot my password and the reset email is not arriving. My email is penelope.perez@example.com.,Account,Negative,medium,2026-06-12,resolved,No
TKT-100022,CUST-16533,ORD-781980,I cannot change my username. It keeps saying invalid format. Please help.,Account,Neutral,low,2026-06-24,resolved,No
TKT-100023,CUST-16128,ORD-822462,My order ORD-822462 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Negative,low,2026-06-02,pending,No
TKT-100024,CUST-11170,ORD-206100,I'm experiencing slow speeds in Los Angeles using Android Tablet. Is there an outage in my area?,Technical,Negative,low,2026-06-17,escalated,Yes
TKT-100025,CUST-15073,ORD-695936,I'm experiencing slow speeds in Gary using Dell XPS 13. Is there an outage in my area?,Technical,Neutral,urgent,2026-06-24,new,No
TKT-100026,CUST-13435,ORD-543342,I'm experiencing slow speeds in El Paso using Dell XPS 13. Is there an outage in my area?,Technical,Neutral,medium,2026-06-27,resolved,No
TKT-100027,CUST-19243,ORD-664792,Is Pro Headphones X currently in stock in any physical stores near Denver? please assist asap.,Product,Neutral,low,2026-06-27,in_progress,No
TKT-100028,CUST-10236,ORD-434719,The software crashes on startup on my Android Tablet. It worked fine yesterday but now displays ERR_RESOURCE_NOT_FOUND_404.,Technical,Positive,medium,2026-06-03,resolved,No
TKT-100029,CUST-11389,ORD-550687,I'm experiencing slow speeds in Indianapolis using Windows Desktop. Is there an outage in my area?,Technical,Neutral,high,2026-06-07,pending,No
TKT-100030,CUST-16725,ORD-313341,I need to update my billing address from Houston to my new home. Can you help me?,Billing,Negative,urgent,2026-07-02,new,No
TKT-100031,CUST-19124,ORD-567722,Why was my account charged 349? I didn't purchase anything recently. Order reference is ORD-567722.,Billing,Neutral,high,2026-06-04,new,No
TKT-100032,CUST-11623,ORD-869774,I want to compare 4K HDR Monitor with other models. What are the key advantages of this version?,Product,Neutral,high,2026-06-06,pending,No
TKT-100033,CUST-15604,ORD-364512,I need to update my billing address from Austin to my new home. Can you help me?,Billing,Negative,high,2026-06-03,pending,No
